chord,freq,contains,,data,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,IV,,,,
,,,,ii,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,#viio7,,,,
,,,,vi,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,iio,,,,
,,,,V,,,,
,,,,i,,,,
,,,,#viio,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,ii,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,ii,,,,
,,,,V,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,V,,,,
,,,,I,,,,
,,,,vi7,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,viio,,,,
,,,,viio7,,,,
,,,,I,,,,
,,,,viio7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,I+,,,,
,,,,IV,,,,
,,,,IV+,,,,
,,,,ii,,,,
,,,,viio,,,,
,,,,ii,,,,
,,,,#viio7,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,viio7,,,,
,,,,viio7,,,,
,,,,I,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,ii7,,,,
,,,,I,,,,
,,,,I+,,,,
,,,,IV,,,,
,,,,IV+,,,,
,,,,ii,,,,
,,,,viio,,,,
,,,,viio7,,,,
,,,,vi,,,,
,,,,ii,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,viio7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,viio7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,viio7,,,,
,,,,IV,,,,
,,,,ii7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,IV,,,,
,,,,ii,,,,
,,,,V7,,,,
,,,,ii,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,iii,,,,
,,,,I,,,,
,,,,viio,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,iii,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,vi,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,ii,,,,
,,,,V7,,,,
,,,,ii,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,IV,,,,
,,,,ivo,,,,
,,,,ii7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,IV,,,,
,,,,V7,,,,
,,,,IV,,,,
,,,,ii,,,,
,,,,viio,,,,
,,,,V,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,ii,,,,
,,,,viio,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,ii,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I+,,,,
,,,,IV,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,vi,,,,
,,,,viio,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,viio,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V,,,,
,,,,vi7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,vi,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,#viio,,,,
,,,,vi,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,vi7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,vi,,,,
,,,,V7,,,,
,,,,IV,,,,
,,,,ii7,,,,
,,,,I,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,IV,,,,
,,,,V7,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,ii7,,,,
,,,,viio7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,IV,,,,
,,,,iv,,,,
,,,,#iv%7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,vi,,,,
,,,,vi,,,,
,,,,vi,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,ii,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,viio,,,,
,,,,V,,,,
,,,,vi,,,,
,,,,vii%7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,viio,,,,
,,,,vi,,,,
,,,,#viio7,,,,
,,,,ii,,,,
,,,,ii,,,,
,,,,ii,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,vi,,,,
,,,,vi,,,,
,,,,#viio7,,,,
,,,,V7,,,,
,,,,#viio7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,#viio,,,,
,,,,ii,,,,
,,,,V7,,,,
,,,,vi,,,,
,,,,vi,,,,
,,,,ii7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V+,,,,
,,,,I,,,,
,,,,I,,,,
,,,,ii,,,,
,,,,iio,,,,
,,,,bII,,,,
,,,,V7,,,,
,,,,iiio7,,,,
,,,,IV,,,,
,,,,V7,,,,
,,,,#ivo7,,,,
,,,,viio7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V,,,,
,,,,viio7,,,,
,,,,vi,,,,
,,,,vii%7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,vi,,,,
,,,,#viio,,,,
,,,,ii,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V,,,,
,,,,viio7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,viio7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,ii,,,,
,,,,iiio,,,,
,,,,V7,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,viio7,,,,
,,,,I,,,,
,,,,ii7,,,,
,,,,Ger,,,,
,,,,V,,,,
,,,,VI,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,#io,,,,
,,,,V7,,,,
,,,,iiio,,,,
,,,,IV,,,,
,,,,iv,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,#viio7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,IV,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,vi,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,viio7,,,,
,,,,V7,,,,
,,,,viio7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,iv,,,,
,,,,iv,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,IV,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,iv,,,,
,,,,iv,,,,
,,,,IV,,,,
,,,,#vo7,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,IV,,,,
,,,,iv,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,iv,,,,
,,,,I,,,,
,,,,#viio7,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,ii7,,,,
,,,,V,,,,
,,,,Fr,,,,
,,,,V,,,,
,,,,#viio7,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,#viio7,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,Ger,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,#viio7,,,,
,,,,#viio7,,,,
,,,,viio,,,,
,,,,V7,,,,
,,,,viio7,,,,
,,,,bVI,,,,
,,,,V,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,#viio,,,,
,,,,#viio,,,,
,,,,viio,,,,
,,,,viio7,,,,
,,,,bVI,,,,
,,,,V,,,,
,,,,I,,,,
,,,,bVI,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,IV,,,,
,,,,iv,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,ii%7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,#viio7,,,,
,,,,#viio7,,,,
,,,,#viio7,,,,
,,,,#viio7,,,,
,,,,ii,,,,
,,,,ii,,,,
,,,,ii,,,,
,,,,ii,,,,
,,,,V,,,,
,,,,#viio7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,vi,,,,
,,,,V7,,,,
,,,,vi,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,vi7,,,,
,,,,vi,,,,
,,,,V,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V,,,,
,,,,vi7,,,,
,,,,#vio7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,#vi7,,,,
,,,,V7,,,,
,,,,vi7,,,,
,,,,V7,,,,
,,,,#viio7,,,,
,,,,v7,,,,
,,,,#vo7,,,,
,,,,vi7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,IV,,,,
,,,,iv,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,I,,,,
,,,,I,,,,
,,,,vi,,,,
,,,,IV,,,,
,,,,vi7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,vi,,,,
,,,,ii,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,iv,,,,
,,,,i,,,,
,,,,ii7,,,,
,,,,i,,,,
,,,,ii%7,,,,
,,,,V,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,iv,,,,
,,,,III,,,,
,,,,ii%7,,,,
,,,,i,,,,
,,,,ii%7,,,,
,,,,V,,,,
,,,,V,,,,
,,,,#viio,,,,
,,,,i,,,,
,,,,I,,,,
,,,,viio,,,,
,,,,vi7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,IV,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,IV,,,,
,,,,IV,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,#viio,,,,
,,,,ii%7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,IV,,,,
,,,,iv,,,,
,,,,ii7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,iv,,,,
,,,,ii7,,,,
,,,,iv,,,,
,,,,#V,,,,
,,,,V7,,,,
,,,,#V,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,i,,,,
,,,,V,,,,
,,,,vi,,,,
,,,,#viio,,,,
,,,,ii,,,,
,,,,IV,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,vi7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V,,,,
,,,,I,,,,
,,,,V,,,,
,,,,,,,,
,,,,#viio,,,,
,,,,ii,,,,
,,,,V,,,,
,,,,ii,,,,
,,,,#viio,,,,
,,,,V,,,,
,,,,,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,,,,,
,,,,vi,,,,
,,,,#viio,,,,
,,,,V,,,,
,,,,,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,#viio,,,,
,,,,iv,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,ii,,,,
,,,,I,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,viio,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,V,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,#viio,,,,
,,,,v,,,,
,,,,#io7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,ii,,,,
,,,,V,,,,
,,,,vi,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,vi,,,,
,,,,ii,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,vii%7,,,,
,,,,vi7,,,,
,,,,V,,,,
,,,,IV,,,,
,,,,iii,,,,
,,,,ii,,,,
,,,,I,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,V,,,,
,,,,IV,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,V,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,iv,,,,
,,,,iv,,,,
,,,,iv,,,,
,,,,V,,,,
,,,,iv,,,,
,,,,V,,,,
,,,,iv,,,,
,,,,V7,,,,
,,,,iv,,,,
,,,,viio7,,,,
,,,,V,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,IV,,,,
,,,,V,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,#viio,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,ii,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,#viio7,,,,
,,,,i,,,,
,,,,i,,,,
,,,,iio,,,,
,,,,i,,,,
,,,,viio,,,,
,,,,vi7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,V,,,,
,,,,V,,,,
,,,,i,,,,
,,,,i,,,,
,,,,V,,,,
,,,,V,,,,
,,,,,,,,
,,,,V,,,,
