chord,measure,beat,totbeat,op,no,mov,length,global_key,is_major,unified_chord,Case
ii%65(2),8,1,32.5,18,1,2,1.5,d,TRUE,?,TRUE
ii%65,8,2.5,34,18,1,2,1.5,d,TRUE,?,TRUE
ii65,372,2,744,18,1,4,0.5,FALSE,TRUE,?,TRUE
iii,282,2,845,18,1,1,1,FALSE,TRUE,?,TRUE
iii,5,1,13,18,1,3,1,FALSE,TRUE,?,TRUE
iii6,5,2,14,18,1,3,1,FALSE,TRUE,?,TRUE
iii,6,1,16,18,1,3,3,FALSE,TRUE,?,TRUE
iii(4),41,1,121,18,1,3,1,FALSE,TRUE,?,TRUE
iii6,41,2,122,18,1,3,1,FALSE,TRUE,?,TRUE
iii,42,1,124,18,1,3,3,FALSE,TRUE,?,TRUE
iii,68,1,202,18,1,3,1,FALSE,TRUE,?,TRUE
iii,41,1,81,18,1,4,1,FALSE,TRUE,?,TRUE
iii64,148,1.5,295.5,18,1,4,2,FALSE,TRUE,?,TRUE
iii64,189,1,377,18,1,4,4,FALSE,TRUE,?,TRUE
iio6,71,4.5,319.5,18,1,2,0.5,d,TRUE,?,TRUE
iio6,72,4.5,324,18,1,2,0.5,d,TRUE,?,TRUE
iio6,9,4.5,40.5,18,1,2,0.5,d,TRUE,?,TRUE
iio6,10,4.5,45,18,1,2,0.5,d,TRUE,?,TRUE
iv6,21,1,91,18,1,2,3.5,d,TRUE,?,TRUE
iv,36,1,158.5,18,1,2,1.5,d,TRUE,?,TRUE
iv,86,1,383.5,18,1,2,1.5,d,TRUE,?,TRUE
iv6,305,1,913,18,1,1,3,FALSE,TRUE,?,TRUE
iv,307,1,919,18,1,1,3,FALSE,TRUE,?,TRUE
iv6,104,1,464.5,18,1,2,4.5,d,TRUE,?,TRUE
iv6,229,1,457,18,1,4,1,FALSE,TRUE,?,TRUE
iv6,230,1,459,18,1,4,1,FALSE,TRUE,?,TRUE
v%43,18,1,77.5,18,1,2,1.5,d,TRUE,?,TRUE
VI6,4,4,17.5,18,1,2,1.5,d,TRUE,?,TRUE
VI6,11,4,49,18,1,2,1.5,d,TRUE,?,TRUE
VI,12,4,53.5,18,1,2,1.5,d,TRUE,?,TRUE
VI6,16,2,69.5,18,1,2,2,d,TRUE,?,TRUE
VI,82,4,368.5,18,1,2,1.5,d,TRUE,?,TRUE
VI,259,1,775,18,1,1,3,FALSE,TRUE,?,TRUE
VI,55,1,244,18,1,2,4.5,d,TRUE,?,TRUE
VI,58,1,257.5,18,1,2,3,d,TRUE,?,TRUE
VI6,66,4,296.5,18,1,2,1.5,d,TRUE,?,TRUE
VI,74,4,332.5,18,1,2,1.5,d,TRUE,?,TRUE
VII,85,1,379,18,1,2,1.5,d,TRUE,?,TRUE
VI.VII,188,1,375,18,1,4,2,FALSE,TRUE,?,TRUE
vii%7,73,2,218,18,1,3,1,FALSE,TRUE,VIIhdim7,FALSE
vii%7,75,3,225,18,1,3,1,FALSE,TRUE,VIIhdim7,FALSE
@none,91,1,406,18,1,2,4.5,d,TRUE,?,TRUE
@none,56,1,166,18,1,1,3,FALSE,TRUE,?,TRUE
@none,60,3,180,18,1,1,1,FALSE,TRUE,?,TRUE
@none,64,2.5,191.5,18,1,1,1.5,FALSE,TRUE,?,TRUE
@none,68,3,204,18,1,1,1,FALSE,TRUE,?,TRUE
@none,187,1,559,18,1,1,3,FALSE,TRUE,?,TRUE
@none,217,1,649,18,1,1,3,FALSE,TRUE,?,TRUE
@none,221,3,663,18,1,1,1,FALSE,TRUE,?,TRUE
@none,225,2.5,674.5,18,1,1,1.5,FALSE,TRUE,?,TRUE
@none,229,3,687,18,1,1,1,FALSE,TRUE,?,TRUE
@none,75,2,224,18,1,3,1,FALSE,TRUE,?,TRUE
@none,265,1,529,18,1,4,4,FALSE,TRUE,?,TRUE
@none,301,1,601,18,1,4,1.5,FALSE,TRUE,?,TRUE
@none,329,1,657,18,1,4,2,FALSE,TRUE,?,TRUE
@none,331,1,661,18,1,4,2,FALSE,TRUE,?,TRUE
#vii%/V,225,2.75,450.75,18,2,1,0.25,G,TRUE,?,TRUE
#vii%/V,226,2.75,452.75,18,2,1,0.25,G,TRUE,?,TRUE
#vii%7/V,73,2.75,146.75,18,2,1,0.25,G,TRUE,?,TRUE
#vii%7/V,74,2.75,148.75,18,2,1,0.25,G,TRUE,?,TRUE
#vii%7/V,58,2,116,18,2,4,1,G,TRUE,?,TRUE
#viio/V,156,1.5,311.5,18,2,1,0.5,G,TRUE,?,TRUE
#viio6/V,181,2,362,18,2,1,1,G,TRUE,?,TRUE
I.#viio6,57,2.75,141.75,18,2,2,1,C,TRUE,?,TRUE
#viio/vi,23,1,68,18,2,3,3,G,TRUE,?,TRUE
#viio/V,26,1.5,77.5,18,2,3,2,G,TRUE,?,TRUE
#viio6/V,35,2.75,70.75,18,2,4,0.25,G,TRUE,?,TRUE
#viio64/V,199,1,397,18,2,4,2,G,TRUE,?,TRUE
#viio6/V,281,2.75,562.75,18,2,4,0.25,G,TRUE,?,TRUE
#viio7/vi,38,1.5,75.5,18,2,1,0.5,G,TRUE,?,TRUE
V.#viio43/ii,54,2,108,18,2,1,1,G,TRUE,?,TRUE
V.#viio43/ii,59,2,118,18,2,1,1,G,TRUE,?,TRUE
#viio7/V,75,2.5,150.5,18,2,1,0.5,G,TRUE,?,TRUE
#viio65/V,76,2.5,152.5,18,2,1,0.5,G,TRUE,?,TRUE
#viio43/V,183,2,366,18,2,1,1,G,TRUE,?,TRUE
#viio65/vi,189,2.5,378.5,18,2,1,0.5,G,TRUE,?,TRUE
#viio7/vi,190,1.5,379.5,18,2,1,0.5,G,TRUE,?,TRUE
#viio65/V,228,2.5,456.5,18,2,1,0.5,G,TRUE,?,TRUE
#viio65/vi,239,1.5,477.5,18,2,1,1.5,G,TRUE,?,TRUE
#viio7/vi,4,3,13,18,2,2,0.5,C,TRUE,?,TRUE
#viio7/V,13,1.75,38.75,18,2,2,0.25,C,TRUE,?,TRUE
IV.#viio7/ii,39,1,104,18,2,2,4,C,TRUE,?,TRUE
#viio43,42,2,111,18,2,2,1,C,TRUE,?,TRUE
#viio65/ii,66,1,161,18,2,2,-10,C,TRUE,?,TRUE
#viio7/V,76,1.75,191.75,18,2,2,0.25,C,TRUE,?,TRUE
#viio7/vi,38,1.5,113.5,18,2,3,0.5,G,TRUE,?,TRUE
#viio7/V,84,1,167,18,2,4,4,G,TRUE,?,TRUE
#viio7/bVII,95,1,189,18,2,4,2,G,TRUE,?,TRUE
V.#viio65/ii,104,1,207,18,2,4,4,G,TRUE,?,TRUE
#viio7/vi,109,1,217,18,2,4,2,G,TRUE,?,TRUE
V[#viio2/V,222,1,443,18,2,4,2,G,TRUE,?,TRUE
#viio7/vi,355,1,709,18,2,4,2,G,TRUE,?,TRUE
i,30,2,60,18,2,1,1,G,TRUE,?,TRUE
i,31,2,62,18,2,1,1,G,TRUE,?,TRUE
i,32,2,64,18,2,1,1,G,TRUE,?,TRUE
i,33,2,66,18,2,1,1,G,TRUE,?,TRUE
V.ii,28,2,56,18,2,1,1,G,TRUE,?,TRUE
ii,40,1,79,18,2,1,1,G,TRUE,?,TRUE
ii6,41,1,81,18,2,1,1.5,G,TRUE,?,TRUE
ii6,42,1.5,83.5,18,2,1,0.5,G,TRUE,?,TRUE
ii,48,1,95,18,2,1,1,G,TRUE,?,TRUE
ii6,49,1,97,18,2,1,1.5,G,TRUE,?,TRUE
ii6,55,1,109,18,2,1,0.5,G,TRUE,?,TRUE
ii,55,1.5,109.5,18,2,1,0.5,G,TRUE,?,TRUE
ii6,60,1,119,18,2,1,1,G,TRUE,?,TRUE
ii,69,1,137,18,2,1,1,G,TRUE,?,TRUE
ii,164,1,327,18,2,1,2,G,TRUE,?,TRUE
ii6,178,2,356,18,2,1,0.5,G,TRUE,?,TRUE
ii,192,1,383,18,2,1,1,G,TRUE,?,TRUE
ii6,193,1,385,18,2,1,1.5,G,TRUE,?,TRUE
ii6,194,1.5,387.5,18,2,1,0.5,G,TRUE,?,TRUE
I.ii,207,1.5,413.5,18,2,1,0.5,G,TRUE,?,TRUE
#viio,200,2,583,127,12,1,2,Eb,FALSE,VIIdim,FALSE
I.ii6,212,1,423,18,2,1,1,G,TRUE,?,TRUE
ii,221,1,441,18,2,1,1,G,TRUE,?,TRUE
ii6,230,2,460,18,2,1,0.5,G,TRUE,?,TRUE
ii6,232,2,464,18,2,1,0.5,G,TRUE,?,TRUE
ii6,246,2,492,18,2,1,0.5,G,TRUE,?,TRUE
ii6,248,2,496,18,2,1,0.5,G,TRUE,?,TRUE
ii6,5,1,14,18,2,2,1,C,TRUE,?,TRUE
ii,5,2,15,18,2,2,1,C,TRUE,?,TRUE
ii6,13,1.5,38.5,18,2,2,0.25,C,TRUE,?,TRUE
ii,28,1,82,18,2,2,2,C,TRUE,?,TRUE
ii6,36,2,99,18,2,2,1,C,TRUE,?,TRUE
ii6,41,1,108,18,2,2,3,C,TRUE,?,TRUE
ii6,53,2,133,18,2,2,0.75,C,TRUE,?,TRUE
ii,53,2.75,133.75,18,2,2,0.25,C,TRUE,?,TRUE
ii6(2),68,1,167,18,2,2,0.5,C,TRUE,?,TRUE
ii6,68,1.5,167.5,18,2,2,0.5,C,TRUE,?,TRUE
ii,68,2,168,18,2,2,1,C,TRUE,?,TRUE
ii6,7,1,20,18,2,3,2,G,TRUE,?,TRUE
ii6,14,3.5,43.5,18,2,3,0.5,G,TRUE,?,TRUE
ii,15,1.5,44.5,18,2,3,0.5,G,TRUE,?,TRUE
ii,16,3.5,49.5,18,2,3,0.5,G,TRUE,?,TRUE
I.ii6,29,1,86,18,2,3,3,G,TRUE,?,TRUE
ii,60,-7,171,18,2,3,1,G,TRUE,?,TRUE
V.ii,6,1,11,18,2,4,2,G,TRUE,?,TRUE
ii6,27,2,54,18,2,4,0.5,G,TRUE,?,TRUE
ii6,31,2,62,18,2,4,0.5,G,TRUE,?,TRUE
ii6,58,1,115,18,2,4,1,G,TRUE,?,TRUE
ii6,273,2,546,18,2,4,0.5,G,TRUE,?,TRUE
ii6,277,2,554,18,2,4,0.5,G,TRUE,?,TRUE
ii6,402,2,804,18,2,4,0.5,G,TRUE,?,TRUE
ii6,403,2,806,18,2,4,0.5,G,TRUE,?,TRUE
ii65,5,2,10,18,2,1,0.5,G,TRUE,?,TRUE
ii65,7,2,14,18,2,1,0.5,G,TRUE,?,TRUE
ii65,19,2,38,18,2,1,0.875,G,TRUE,?,TRUE
ii65,78,2,156,18,2,1,0.5,G,TRUE,?,TRUE
ii65,80,2,160,18,2,1,0.5,G,TRUE,?,TRUE
ii43,155,2,310,18,2,1,1,G,TRUE,?,TRUE
ii7,184,2,368,18,2,1,1,G,TRUE,?,TRUE
ii7,235,2,470,18,2,1,1,G,TRUE,?,TRUE
ii43,21,2,63,18,2,2,1,C,TRUE,?,TRUE
ii43,84,2,216,18,2,2,1,C,TRUE,?,TRUE
ii65,34,3,103,18,2,3,0.5,G,TRUE,?,TRUE
ii65,38,2.5,114.5,18,2,3,0.5,G,TRUE,?,TRUE
iio6,223,2,446,18,2,4,1,G,TRUE,?,TRUE
iio6,225,2,450,18,2,4,1,G,TRUE,?,TRUE
IM2,85,1,254,18,2,3,3,G,TRUE,?,TRUE
iv6,17,2,34,18,2,1,1,G,TRUE,?,TRUE
iv,88,3,229,18,2,2,1,C,TRUE,?,TRUE
iv6,89,3,232,18,2,2,1,C,TRUE,?,TRUE
iv6,60,1,179,18,2,3,-8,G,TRUE,?,TRUE
v,163,1,325,18,2,1,2,G,TRUE,?,TRUE
vii%2(+2),89,1,266,18,2,3,3,G,TRUE,VIIhdim7,FALSE
#io,111,2,222,18,3,2,0.5,Bb,TRUE,?,TRUE
#io6,130,1,386,18,3,4,3,D,TRUE,?,TRUE
#io,336,2.5,1005.5,18,3,4,1.5,D,TRUE,?,TRUE
#io2,115,2,230,18,3,2,0.5,Bb,TRUE,?,TRUE
#viio6/ii,78,1,309,18,3,1,4,D,TRUE,?,TRUE
#viio6(7)/V,92,1,365,18,3,1,2,D,TRUE,?,TRUE
#viio6/V,92,3,367,18,3,1,2,D,TRUE,?,TRUE
#viio6(7)/V,96,1,381,18,3,1,1,D,TRUE,?,TRUE
#viio6/V,96,2,382,18,3,1,3,D,TRUE,?,TRUE
#viio6/ii,211,1,841,18,3,1,4,D,TRUE,?,TRUE
#viio/V,13,2.5,26.5,18,3,2,0.5,Bb,TRUE,?,TRUE
#viio/V,16,2.5,32.5,18,3,2,0.5,Bb,TRUE,?,TRUE
#viio/ii,38,2,76,18,3,2,0.75,Bb,TRUE,?,TRUE
#viio6/ii,42,2,84,18,3,2,0.5,Bb,TRUE,?,TRUE
#viio/V,59,2.5,118.5,18,3,2,0.5,Bb,TRUE,?,TRUE
#viio/V,61,2.5,122.5,18,3,2,0.5,Bb,TRUE,?,TRUE
