offset,key,numeral,score
22.25,I,a Minor,0.859333
22.333333,I,E Major,0.679927
22.5,I,A Major,0.621706
22.666667,I,E Major,0.679927
23.0,IV+,a Minor,0.664505
23.25,I+,a Minor,0.787562
23.5,I,a Minor,0.911232
23.666667,V+,a Minor,0.683424
23.833333,I,a Minor,0.937848
24.0,V+7,a Minor,0.750278
24.166667,I+,a Minor,0.625232
24.333333,I,a Minor,0.947805
25.166667,I+,a Minor,0.63187
25.333333,I,a Minor,0.947805
25.5,IV+,a Minor,0.63187
26.0,I,a Minor,0.936212
26.166667,I+,a Minor,0.561727
27.916667,IV+,a Minor,0.619064
28.0,I,a Minor,0.928595
28.25,IV+,a Minor,0.464298
28.333333,I,a Minor,0.928595
28.5,I+,a Minor,0.689942
28.666667,I,a Minor,0.918911
29.0,V+7,a Minor,0.725094
29.166667,I+,a Minor,0.604245
29.333333,I,a Minor,0.940669
30.0,V+7,a Minor,0.752535
30.166667,I+,a Minor,0.627113
30.333333,I,a Minor,0.940669
31.5,I+,a Minor,0.625131
31.666667,I,a Minor,0.92835
32.333333,I+,a Minor,0.596868
33.083333,I,a Minor,0.921977
33.166667,I+,a Minor,0.614651
33.25,IV+,a Minor,0.614651
33.333333,I,a Minor,0.921977
33.666667,I+,a Minor,0.604995
34.166667,I,a Minor,0.902084
34.333333,V+,a Minor,0.721667
35.0,I+,a Minor,0.601389
35.666667,I,a Minor,0.902084
36.333333,I+,a Minor,0.590232
37.083333,I,a Minor,0.921977
37.166667,I+,a Minor,0.614651
37.25,IV+,a Minor,0.614651
37.333333,I,a Minor,0.921977
37.666667,I+,a Minor,0.604995
38.166667,I,a Minor,0.895351
38.333333,V+,a Minor,0.716281
39.0,IV+,a Minor,0.671513
39.5,I,a Minor,0.895351
39.666667,I,E Major,0.679927
39.833333,I+,a Minor,0.685549
40.25,I,a Minor,0.859333
40.333333,I,E Major,0.679927
40.5,I,A Major,0.621706
40.666667,I,E Major,0.679927
41.0,I,D Major,0.641157
41.25,I+,a Minor,0.75804
41.833333,I,a Minor,0.930899
42.0,V+7,a Minor,0.75283
42.166667,I+,a Minor,0.627358
42.333333,I,a Minor,0.941038
43.333333,IV+,a Minor,0.705778
43.5,I,a Minor,0.917437
43.666667,I,E Major,0.679927
43.833333,I+,a Minor,0.624483
44.166667,I,a Minor,0.859333
44.333333,I,E Major,0.679927
44.5,I,A Major,0.621706
44.666667,I,E Major,0.679927
45.0,IV+,a Minor,0.664505
45.25,I+,a Minor,0.787562
45.5,I,a Minor,0.911232
45.666667,V+,a Minor,0.683424
45.833333,I,a Minor,0.937848
46.0,V+7,a Minor,0.750278
46.166667,I+,a Minor,0.625232
46.333333,I,a Minor,0.947805
47.166667,I+,a Minor,0.63187
47.333333,I,a Minor,0.947805
47.5,IV+,a Minor,0.63187
48.0,I,a Minor,0.936212
48.166667,I+,a Minor,0.561727
49.916667,IV+,a Minor,0.619064
50.0,I,a Minor,0.928595
50.25,IV+,a Minor,0.464298
50.333333,I,a Minor,0.928595
50.5,I+,a Minor,0.689942
50.666667,I,a Minor,0.918911
51.0,V+7,a Minor,0.725094
51.166667,I+,a Minor,0.604245
51.333333,I,a Minor,0.906367
52.0,V+7,a Minor,0.722814
52.166667,I+,a Minor,0.602345
52.333333,I,a Minor,0.903518
53.0,V+7,a Minor,0.743267
53.166667,I+,a Minor,0.660884
53.333333,I,a Minor,0.914026
54.0,V+7,a Minor,0.738478
54.166667,I+,a Minor,0.620389
54.333333,I,a Minor,0.930584
55.0,IV+,a Minor,0.620389
55.25,I+,a Minor,0.77292
55.5,I,a Minor,0.90174
56.333333,V+7,a Minor,0.74159
56.5,V+,a Minor,0.593272
56.666667,I,a Minor,0.908765
57.333333,V+7,a Minor,0.757305
57.5,V+,a Minor,0.605844
57.666667,I,a Minor,0.908765
58.083333,I+,a Minor,0.661363
58.833333,I,a Minor,0.921977
59.166667,I+,a Minor,0.614651
59.25,IV+,a Minor,0.614651
59.333333,I,a Minor,0.921977
59.666667,I+,a Minor,0.604995
60.166667,I,a Minor,0.884599
60.333333,I,E Major,0.699538
61.0,I,a Minor,0.873637
62.0,,,
