offset,key,numeral,score
104.0,I+,f Minor,0.764927
104.25,IV,f Minor,0.647246
104.5,IV+,f Minor,0.575614
105.25,I,C Major,0.907058
107.0,I+,f Minor,0.569608
108.5,VIIdim,f Minor,0.866698
109.0,IIdim,f Minor,0.681496
110.25,I,f Minor,0.967249
112.75,IIdim,f Minor,0.644833
113.25,I,f Minor,0.967249
114.25,IV,f Minor,0.624147
114.75,V+,b- Minor,0.904481
115.75,I,b- Minor,0.602987
116.0,VI,A- Major,0.669461
116.75,I,A- Major,0.904435
117.25,VIIdim,A- Major,0.602956
117.75,VI,A- Major,0.904435
118.75,II,A- Major,0.602956
119.0,I+,f Minor,0.65005
119.75,I,f Minor,0.896088
121.25,III,f Minor,0.687118
122.25,I+,f Minor,0.696112
124.25,I,f Minor,0.951546
124.75,IIdim,f Minor,0.634364
125.25,I,f Minor,0.951546
126.25,IV,f Minor,0.624147
126.75,V+,b- Minor,0.904481
127.75,I,b- Minor,0.602987
128.0,I+,f Minor,0.672487
128.75,III,f Minor,0.597766
129.75,I+,f Minor,0.597766
130.75,V+,f Minor,0.57847
131.25,I+,f Minor,0.84611
131.75,V+,f Minor,0.634583
132.75,#IVdim,f Minor,0.634583
133.25,GerVI,f Minor,0.84611
134.25,I,f Minor,0.550052
135.25,ItaVI,f Minor,0.917116
136.0,I,f Minor,0.976081
136.75,IIdim,f Minor,0.732061
137.25,I,f Minor,0.976081
138.25,IV,f Minor,0.732061
138.75,I+,f Minor,0.912989
139.75,IV,f Minor,0.696434
140.25,I,f Minor,0.928579
141.25,IIdim,f Minor,0.696434
141.75,I,f Minor,0.928579
142.75,IV,f Minor,0.696434
143.25,I,f Minor,0.891087
145.25,V,F Major,0.705417
146.25,I,F Major,0.733065
148.75,II,F Major,0.720782
149.25,I,F Major,0.961043
151.25,IIdim,b- Minor,0.828356
151.75,III,b- Minor,0.621267
152.25,III,C- Major,0.665546
154.0,VI,B Major,0.665546
154.75,III,b Minor,0.417803
155.25,I,b Minor,0.691189
156.25,IIdim,b Minor,0.64799
156.75,I,d Minor,0.838283
157.75,V,C Major,0.653636
158.25,I,d Minor,0.402774
160.0,IIdim,d Minor,0.592537
160.75,I,D- Major,0.89469
161.75,#IVdim,D- Major,0.825675
162.25,IV,A- Major,0.900243
162.75,V+,b- Minor,0.700235
163.25,I,b- Minor,0.571264
164.25,III,b- Minor,0.476053
164.75,IV+,b- Minor,0.714079
165.75,III,b- Minor,0.952106
166.25,VI,D- Major,0.43169
166.75,I,D- Major,0.89469
167.75,#IVdim,D- Major,0.775067
168.25,I,D- Major,0.815481
168.75,III,d Minor,0.783258
169.0,bII,A Major,0.350731
172.25,V,c Minor,0.605545
173.25,I+,c Minor,0.630058
173.75,V+,f Minor,0.637868
174.25,I+,f Minor,0.585997
175.0,IIdim,f Minor,0.878995
176.25,I+,f Minor,0.585997
176.75,III,f Minor,0.585997
177.25,V+,f Minor,0.642693
178.25,I,b- Minor,0.408771
178.75,III,b- Minor,0.547749
179.5,I,f Minor,0.859333
180.75,III,b- Minor,0.565373
181.25,I,b- Minor,0.565373
181.75,III,b- Minor,0.636044
182.5,I,f Minor,0.884599
183.75,III,b- Minor,0.361517
184.25,IIdim,f Minor,0.839898
185.25,V+,f Minor,0.6414
186.25,I+,f Minor,0.764813
187.0,IIdim,f Minor,0.892282
188.25,I+,f Minor,0.594855
188.75,III,f Minor,0.594855
189.25,V+,f Minor,0.660465
190.0,VI,f Minor,0.890884
190.25,IIdim,f Minor,0.890884
190.5,VI,f Minor,0.534531
191.25,I,f Minor,0.890884
192.75,VI,f Minor,0.580987
193.25,IIdim,f Minor,0.926479
193.5,VI,f Minor,0.617653
194.25,I,f Minor,0.926479
195.75,IV+,f Minor,0.617653
196.25,III,f Minor,0.907502
196.75,IV,f Minor,0.899596
197.0,V+,b- Minor,0.895638
197.25,III,b- Minor,0.895638
197.5,V+,b- Minor,0.895638
197.75,I,b- Minor,0.895638
198.0,I+,f Minor,0.943177
198.25,VI,f Minor,0.943177
198.5,I+,f Minor,0.943177
198.75,IIdim,f Minor,0.943177
199.0,I,f Minor,0.623787
199.75,III,E- Major,0.903531
200.0,II,E- Major,0.598654
200.75,III,E- Major,0.897981
201.0,II,E- Major,0.748318
204.75,,,
