chord,altchord,measure,beat,totbeat,timesig,op,no,mov,length,global_key,local_key,pedal,numeral,form,figbass,changes,relativeroot,phraseend
I6,,14,3,36,3/4,127,12,1,1,Eb,I,,I,,6,,,FALSE
ii6,,15,1,37,3/4,127,12,1,2,Eb,I,,ii,,6,,,FALSE
V2,,15,3,39,3/4,127,12,1,1,Eb,I,,V,,2,,,FALSE
I6,,16,1,40,3/4,127,12,1,2,Eb,I,,I,,6,,,FALSE
vi64,,16,3,42,3/4,127,12,1,1,Eb,I,,vi,,64,,,FALSE
V43,,17,1,43,3/4,127,12,1,3,Eb,I,,V,,43,,,FALSE
I6(4),,18,1,46,3/4,127,12,1,1,Eb,I,,I,,6,4,,FALSE
I6,,18,2,47,3/4,127,12,1,1,Eb,I,,I,,6,,,FALSE
I+6,,18,3,48,3/4,127,12,1,1,Eb,I,,I,+,6,,,FALSE
IV,,19,1,49,3/4,127,12,1,1,Eb,I,,IV,,,,,FALSE
ii6,,19,2,50,3/4,127,12,1,1,Eb,I,,ii,,6,,,FALSE
V2,,19,3,51,3/4,127,12,1,1,Eb,I,,V,,2,,,FALSE
I6,,20,1,52,3/4,127,12,1,2,Eb,I,,I,,6,,,FALSE
IV,,20,3,54,3/4,127,12,1,1,Eb,I,,IV,,,,,FALSE
I64,,21,1,55,3/4,127,12,1,1,Eb,I,,I,,64,,,FALSE
vi,,21,2,56,3/4,127,12,1,1,Eb,I,,vi,,,,,FALSE
V65,,21,3,57,3/4,127,12,1,1,Eb,I,,V,,65,,,FALSE
I,,22,1,58,3/4,127,12,1,1,Eb,I,,I,,,,,FALSE
I6,,22,2,59,3/4,127,12,1,1,Eb,I,,I,,6,,,FALSE
I64,,22,3,60,3/4,127,12,1,1,Eb,I,,I,,64,,,FALSE
I,,23,1,61,3/4,127,12,1,3,Eb,I,,I,,,,,FALSE
V43,,24,1,64,3/4,127,12,1,2,Eb,I,,V,,43,,,FALSE
V7,,24,3,66,3/4,127,12,1,3,Eb,I,,V,,7,,,FALSE
V65,,25,3,69,3/4,127,12,1,2,Eb,I,,V,,65,,,FALSE
I,,26,2,71,3/4,127,12,1,1,Eb,I,,I,,,,,FALSE
I64,,26,3,72,3/4,127,12,1,1,Eb,I,,I,,64,,,FALSE
I6,,27,1,73,3/4,127,12,1,1,Eb,I,,I,,6,,,FALSE
I,,27,2,74,3/4,127,12,1,0.5,Eb,I,,I,,,,,FALSE
V2/IV,,27,2.5,74.5,3/4,127,12,1,0.5,Eb,I,,V,,2,,IV,FALSE
ii43,,27,3,75,3/4,127,12,1,0.5,Eb,I,,ii,,43,,,FALSE
viio6/IV,,27,3.5,75.5,3/4,127,12,1,0.5,Eb,I,,vii,o,6,,IV,FALSE
ii6,,28,1,76,3/4,127,12,1,2,Eb,I,,ii,,6,,,FALSE
III7,,28,3,78,3/4,127,12,1,0.5,Eb,I,,III,,7,,,FALSE
ii6,,28,3.5,78.5,3/4,127,12,1,0.5,Eb,I,,ii,,6,,,FALSE
V65/V,,29,1,79,3/4,127,12,1,0.5,Eb,I,,V,,65,,V,FALSE
V(64),,29,1.5,79.5,3/4,127,12,1,1.5,Eb,I,,V,,,64,,FALSE
V7,,29,3,81,3/4,127,12,1,1,Eb,I,,V,,7,,,FALSE
#viio7/vi,,30,1,82,3/4,127,12,1,0.5,Eb,I,,#vii,o,7,,vi,FALSE
vi,,30,1.5,82.5,3/4,127,12,1,1.5,Eb,I,,vi,,,,,FALSE
V64/vi,,30,3,84,3/4,127,12,1,0.5,Eb,I,,V,,64,,vi,FALSE
vii%7,,30,3.5,84.5,3/4,127,12,1,1,Eb,I,,vii,%,7,,,FALSE
I,,31,1.5,85.5,3/4,127,12,1,0.5,Eb,I,,I,,,,,FALSE
ii6,,31,2,86,3/4,127,12,1,0.5,Eb,I,,ii,,6,,,FALSE
#iv%7,,31,2.5,86.5,3/4,127,12,1,0.5,Eb,I,,#iv,%,7,,,FALSE
V,,31,3,87,3/4,127,12,1,1,Eb,I,,V,,,,,FALSE
I\\\\,,32,1,88,3/4,127,12,1,3,Eb,I,,I,,,,,TRUE
I6,,33,1,91,3/4,127,12,1,2,Eb,I,,I,,6,,,FALSE
V64,,33,3,93,3/4,127,12,1,1,Eb,I,,V,,64,,,FALSE
I,,34,1,94,3/4,127,12,1,3,Eb,I,,I,,,,,FALSE
vi,,35,1,97,3/4,127,12,1,2,Eb,I,,vi,,,,,FALSE
ii,,35,3,99,3/4,127,12,1,1,Eb,I,,ii,,,,,FALSE
V65/vi,,36,1,100,3/4,127,12,1,1,Eb,I,,V,,65,,vi,FALSE
vi.i\\\\,,36,2,101,3/4,127,12,1,2,Eb,vi,,i,,,,,TRUE
v6,,37,1,103,3/4,127,12,1,2,Eb,vi,,v,,6,,,FALSE
II64,,37,3,105,3/4,127,12,1,1,Eb,vi,,II,,64,,,FALSE
v,,38,1,106,3/4,127,12,1,1,Eb,vi,,v,,,,,FALSE
iv,,38,2,107,3/4,127,12,1,1,Eb,vi,,iv,,,,,FALSE
II6,,38,3,108,3/4,127,12,1,1,Eb,vi,,II,,6,,,FALSE
iii.V(64),,39,1,109,3/4,127,12,1,2,Eb,iii,,V,,,64,,FALSE
V2,,39,3,111,3/4,127,12,1,0.5,Eb,iii,,V,,2,,,FALSE
i6,,39,3.5,111.5,3/4,127,12,1,0.5,Eb,iii,,i,,6,,,FALSE
V43,,40,1,112,3/4,127,12,1,1.5,Eb,iii,,V,,43,,,FALSE
i[i64,,40,2.5,113.5,3/4,127,12,1,1,Eb,iii,i,i,,64,,,FALSE
V7,,40,3.5,114.5,3/4,127,12,1,0.5,Eb,iii,i,V,,7,,,FALSE
i64,,41,1,115,3/4,127,12,1,3,Eb,iii,i,i,,64,,,FALSE
iio64,,42,1,118,3/4,127,12,1,1,Eb,iii,i,ii,o,64,,,FALSE
iio6,,42,2,119,3/4,127,12,1,1,Eb,iii,i,ii,o,6,,,FALSE
i64,,42,3,120,3/4,127,12,1,0.5,Eb,iii,i,i,,64,,,FALSE
#viio2,,42,3.5,120.5,3/4,127,12,1,0.5,Eb,iii,i,#vii,o,2,,,FALSE
#viio43,,43,1,121,3/4,127,12,1,3,Eb,iii,i,#vii,o,43,,,FALSE
#viio2,,44,1,124,3/4,127,12,1,1,Eb,iii,i,#vii,o,2,,,FALSE
i64],,44,2,125,3/4,127,12,1,1,Eb,iii,i,i,,64,,,FALSE
ii%7,,44,3,126,3/4,127,12,1,1,Eb,iii,,ii,%,7,,,FALSE
V65/IV,,45,1,127,3/4,127,12,1,3,Eb,iii,,V,,65,,IV,FALSE
IV(94),,46,1,130,3/4,127,12,1,1,Eb,iii,,IV,,,94,,FALSE
IV(#2),,46,2,131,3/4,127,12,1,1,Eb,iii,,IV,,,#2,,FALSE
V65/V,,46,3,132,3/4,127,12,1,2.5,Eb,iii,,V,,65,,V,FALSE
V,,47,2.5,134.5,3/4,127,12,1,0.5,Eb,iii,,V,,,,,FALSE
V43/V,,47,3,135,3/4,127,12,1,1,Eb,iii,,V,,43,,V,FALSE
V65,,48,1,136,3/4,127,12,1,1,Eb,iii,,V,,65,,,FALSE
i64,,48,2,137,3/4,127,12,1,1,Eb,iii,,i,,64,,,FALSE
V7,,48,3,138,3/4,127,12,1,1,Eb,iii,,V,,7,,,FALSE
i[i64,,49,1,139,3/4,127,12,1,3,Eb,iii,i,i,,64,,,FALSE
V2,,50,1,142,3/4,127,12,1,2,Eb,iii,i,V,,2,,,FALSE
i6,,50,3,144,3/4,127,12,1,0.5,Eb,iii,i,i,,6,,,FALSE
#viio65,,50,3.5,144.5,3/4,127,12,1,0.5,Eb,iii,i,#vii,o,65,,,FALSE
#viio43,,51,1,145,3/4,127,12,1,2,Eb,iii,i,#vii,o,43,,,FALSE
i6,,51,3,147,3/4,127,12,1,1,Eb,iii,i,i,,6,,,FALSE
V43,,52,1,148,3/4,127,12,1,1,Eb,iii,i,V,,43,,,FALSE
VI6,,52,2,149,3/4,127,12,1,1,Eb,iii,i,VI,,6,,,FALSE
#vi6,,52,3,150,3/4,127,12,1,0.5,Eb,iii,i,#vi,,6,,,FALSE
#viio6,,52,3.5,150.5,3/4,127,12,1,0.5,Eb,iii,i,#vii,o,6,,,FALSE
i6,,53,1,151,3/4,127,12,1,2,Eb,iii,i,i,,6,,,FALSE
V6/iv,,53,3,153,3/4,127,12,1,1,Eb,iii,i,V,,6,,iv,FALSE
IV64(7),,54,1,154,3/4,127,12,1,1,Eb,iii,i,IV,,64,7,,FALSE
IV64(#5),,54,2,155,3/4,127,12,1,1,Eb,iii,i,IV,,64,#5,,FALSE
V6/V,,54,3,156,3/4,127,12,1,2,Eb,iii,i,V,,6,,V,FALSE
V],,55,2,158,3/4,127,12,1,1,Eb,iii,i,V,,,,,FALSE
V43/V,,55,3,159,3/4,127,12,1,1,Eb,iii,,V,,43,,V,FALSE
V65,,56,1,160,3/4,127,12,1,0.5,Eb,iii,,V,,65,,,FALSE
i,,56,1.5,160.5,3/4,127,12,1,1,Eb,iii,,i,,,,,FALSE
iv,,56,2.5,161.5,3/4,127,12,1,0.5,Eb,iii,,iv,,,,,FALSE
V(64),,56,3,162,3/4,127,12,1,0.5,Eb,iii,,V,,,64,,FALSE
V2,,56,3.5,162.5,3/4,127,12,1,0.5,Eb,iii,,V,,2,,,FALSE
i6,,57,1,163,3/4,127,12,1,2,Eb,iii,,i,,6,,,FALSE
i64,,57,3,165,3/4,127,12,1,1,Eb,iii,,i,,64,,,FALSE
V43(4),,58,1,166,3/4,127,12,1,1,Eb,iii,,V,,43,4,,FALSE
V,,58,2,167,3/4,127,12,1,1,Eb,iii,,V,,,,,FALSE
i6,,58,3,168,3/4,127,12,1,1,Eb,iii,,i,,6,,,FALSE
i,,59,1,169,3/4,127,12,1,3,Eb,iii,,i,,,,,FALSE
V(2),,60,1,172,3/4,127,12,1,1,Eb,iii,,V,,,2,,FALSE
V6,,60,2,173,3/4,127,12,1,1,Eb,iii,,V,,6,,,FALSE
i,,60,3,174,3/4,127,12,1,1,Eb,iii,,i,,,,,FALSE
i64,,61,1,175,3/4,127,12,1,2,Eb,iii,,i,,64,,,FALSE
iv6,,61,3,177,3/4,127,12,1,1,Eb,iii,,iv,,6,,,FALSE
V(4),,62,1,178,3/4,127,12,1,1,Eb,iii,,V,,,4,,FALSE
V,,62,2,179,3/4,127,12,1,1,Eb,iii,,V,,,,,FALSE
i64,,62,3,180,3/4,127,12,1,1,Eb,iii,,i,,64,,,FALSE
VI,,63,1,181,3/4,127,12,1,0.5,Eb,iii,,VI,,,,,FALSE
V43/iv,,63,1.5,181.5,3/4,127,12,1,0.5,Eb,iii,,V,,43,,iv,FALSE
iv,,63,2,182,3/4,127,12,1,1,Eb,iii,,iv,,,,,FALSE
iio,,63,3,183,3/4,127,12,1,1,Eb,iii,,ii,o,,,,FALSE
V7/V,,64,1,184,3/4,127,12,1,1,Eb,iii,,V,,7,,V,FALSE
V7,,64,2,185,3/4,127,12,1,2,Eb,iii,,V,,7,,,FALSE
i,,65,1,187,3/4,127,12,1,3,Eb,iii,,i,,,,,FALSE
i\\\\,,66,1,190,3/4,127,12,1,3,Eb,iii,,i,,,,,TRUE
i64,,67,1,193,3/4,127,12,1,3,Eb,iii,,i,,64,,,FALSE
i64,,68,1,196,3/4,127,12,1,1,Eb,iii,,i,,64,,,FALSE
V7,,68,2,197,3/4,127,12,1,2,Eb,iii,,V,,7,,,FALSE
i,,69,1,199,3/4,127,12,1,3,Eb,iii,,i,,,,,FALSE
i\\\\,,70,1,202,3/4,127,12,1,3,Eb,iii,,i,,,,,TRUE
i64,,71,1,205,3/4,127,12,1,1,Eb,iii,,i,,64,,,FALSE
I64,,71,2,206,3/4,127,12,1,2,Eb,iii,,I,,64,,,FALSE
i64,,72,1,208,3/4,127,12,1,1,Eb,iii,,i,,64,,,FALSE
V7,,72,2,209,3/4,127,12,1,6,Eb,iii,,V,,7,,,FALSE
V7,,74,2,215,3/4,127,12,1,2,Eb,iii,,V,,7,,,FALSE
III.I,,75,1,217,2/4,127,12,1,2.5,Eb,III,,I,,,,,FALSE
V43,,76,1.5,219.5,2/4,127,12,1,1.5,Eb,III,,V,,43,,,FALSE
I,,77,1,221,2/4,127,12,1,2.5,Eb,III,,I,,,,,FALSE
V2,,78,1.5,223.5,2/4,127,12,1,1.5,Eb,III,,V,,2,,,FALSE
I6,,79,1,225,2/4,127,12,1,1.5,Eb,III,,I,,6,,,FALSE
vi,,79,2.5,226.5,2/4,127,12,1,0.5,Eb,III,,vi,,,,,FALSE
IV,,80,1,227,2/4,127,12,1,2,Eb,III,,IV,,,,,FALSE
IV64,,81,1,229,3/4,127,12,1,1,Eb,III,,IV,,64,,,FALSE
viio64,,81,2,230,3/4,127,12,1,2,Eb,III,,vii,o,64,,,FALSE
I6,,82,1,232,3/4,127,12,1,2,Eb,III,,I,,6,,,FALSE
vi6,,82,3,234,3/4,127,12,1,1,Eb,III,,vi,,6,,,FALSE
ii2,,83,1,235,3/4,127,12,1,1,Eb,III,,ii,,2,,,FALSE
ii,,83,2,236,3/4,127,12,1,1,Eb,III,,ii,,,,,FALSE
viio6,,83,3,237,3/4,127,12,1,1,Eb,III,,vii,o,6,,,FALSE
I6,,84,1,238,3/4,127,12,1,1,Eb,III,,I,,6,,,FALSE
I,,84,2,239,3/4,127,12,1,1,Eb,III,,I,,,,,FALSE
V7(#5)/IV,,84,3,240,3/4,127,12,1,1,Eb,III,,V,,7,#5,IV,FALSE
IV64,,85,1,241,3/4,127,12,1,1,Eb,III,,IV,,64,,,FALSE
ii6,,85,2,242,3/4,127,12,1,1,Eb,III,,ii,,6,,,FALSE
V2,,85,3,243,3/4,127,12,1,1,Eb,III,,V,,2,,,FALSE
V2,,86,1,244,3/4,127,12,1,1,Eb,III,,V,,2,,,FALSE
I64,,86,2,245,3/4,127,12,1,2,Eb,III,,I,,64,,,FALSE
IV6,,87,1,247,3/4,127,12,1,2,Eb,III,,IV,,6,,,FALSE
V65,,87,3,249,3/4,127,12,1,1,Eb,III,,V,,65,,,FALSE
V2,,88,1,250,3/4,127,12,1,1,Eb,III,,V,,2,,,FALSE
I6,,88,2,251,3/4,127,12,1,1,Eb,III,,I,,6,,,FALSE
I,,88,3,252,3/4,127,12,1,0.5,Eb,III,,I,,,,,FALSE
V7(#5)/IV,,88,3.5,252.5,3/4,127,12,1,0.5,Eb,III,,V,,7,#5,IV,FALSE
IV,,89,1,253,3/4,127,12,1,1,Eb,III,,IV,,,,,FALSE
ii6,,89,2,254,3/4,127,12,1,4,Eb,III,,ii,,6,,,FALSE
vii%43,,89,6,258,3/4,127,12,1,-2,Eb,III,,vii,%,43,,,FALSE
V2,,90,1,256,3/4,127,12,1,1,Eb,III,,V,,2,,,FALSE
I6,,90,2,257,3/4,127,12,1,2,Eb,III,,I,,6,,,FALSE
ii(2),,91,1,259,3/4,127,12,1,1,Eb,III,,ii,,,2,,FALSE
ii,,91,2,260,3/4,127,12,1,2,Eb,III,,ii,,,,,FALSE
I(2),,92,1,262,3/4,127,12,1,4,Eb,III,,I,,,2,,FALSE
I,,92,5,266,3/4,127,12,1,-1,Eb,III,,I,,,,,FALSE
V2/IV,,93,1,265,3/4,127,12,1,2,Eb,III,,V,,2,,IV,FALSE
I,,93,3,267,3/4,127,12,1,1,Eb,III,,I,,,,,FALSE
IV6(2),,94,1,268,3/4,127,12,1,1,Eb,III,,IV,,6,2,,FALSE
IV64,,94,2,269,3/4,127,12,1,1,Eb,III,,IV,,64,,,FALSE
iv6,,94,3,270,3/4,127,12,1,1,Eb,III,,iv,,6,,,FALSE
V64(2),,95,1,271,3/4,127,12,1,1,Eb,III,,V,,64,2,,FALSE
I6,,95,2,272,3/4,127,12,1,1,Eb,III,,I,,6,,,FALSE
I,,95,3,273,3/4,127,12,1,1,Eb,III,,I,,,,,FALSE
V7(b9),,96,1,274,3/4,127,12,1,1,Eb,III,,V,,7,b9,,FALSE
V2,,96,2,275,3/4,127,12,1,1,Eb,III,,V,,2,,,FALSE
V43,,96,3,276,3/4,127,12,1,1,Eb,III,,V,,43,,,FALSE
I,,97,1,277,3/4,127,12,1,2,Eb,III,,I,,,,,FALSE
V2,,97,3,279,3/4,127,12,1,1,Eb,III,,V,,2,,,FALSE
I6(72),,98,1,280,3/4,127,12,1,1,Eb,III,,I,,6,72,,FALSE
I6,,98,2,281,3/4,127,12,1,1,Eb,III,,I,,6,,,FALSE
I64,,98,3,282,3/4,127,12,1,1,Eb,III,,I,,64,,,FALSE
I,,99,1,283,3/4,127,12,1,2,Eb,III,,I,,,,,FALSE
V7(4),,99,3,285,3/4,127,12,1,1,Eb,III,,V,,7,4,,FALSE
VII,,100,1,286,3/4,127,12,1,1,Eb,III,,VII,,,,,FALSE
viio/IV,,100,2,287,3/4,127,12,1,2,Eb,III,,vii,o,,,IV,FALSE
iv6(7),,101,1,289,3/4,127,12,1,1,Eb,III,,iv,,6,7,,FALSE
iv6,,101,2,290,3/4,127,12,1,2,Eb,III,,iv,,6,,,FALSE
V43(4)/IV,,102,1,292,3/4,127,12,1,1,Eb,III,,V,,43,4,IV,FALSE
V43/IV,,102,2,293,3/4,127,12,1,2,Eb,III,,V,,43,,IV,FALSE
iv64,,103,1,295,3/4,127,12,1,3,Eb,III,,iv,,64,,,FALSE
V2(9)/IV,,104,1,298,3/4,127,12,1,1,Eb,III,,V,,2,9,IV,FALSE
V2/IV,,104,2,299,3/4,127,12,1,2,Eb,III,,V,,2,,IV,FALSE
iv6(7),,105,1,301,3/4,127,12,1,1,Eb,III,,iv,,6,7,,FALSE
iv6,,105,2,302,3/4,127,12,1,2,Eb,III,,iv,,6,,,FALSE
V43(94)/IV,,106,1,304,3/4,127,12,1,1,Eb,III,,V,,43,94,IV,FALSE
V43/IV,,106,2,305,3/4,127,12,1,2,Eb,III,,V,,43,,IV,FALSE
vi.i,,107,1,307,3/4,127,12,1,3,Eb,vi,,i,,,,,FALSE
i2,,108,1,310,3/4,127,12,1,3,Eb,vi,,i,,2,,,FALSE
V65/iv,,109,1,313,3/4,127,12,1,2,Eb,vi,,V,,65,,iv,FALSE
I,,109,3,315,3/4,127,12,1,1,Eb,vi,,I,,,,,FALSE
iv6(2),,110,1,316,3/4,127,12,1,1,Eb,vi,,iv,,6,2,,FALSE
iv,,110,2,317,3/4,127,12,1,1,Eb,vi,,iv,,,,,FALSE
iv6,,110,3,318,3/4,127,12,1,1,Eb,vi,,iv,,6,,,FALSE
i64(119),,111,1,319,3/4,127,12,1,1,Eb,vi,,i,,64,119,,FALSE
i6,,111,2,320,3/4,127,12,1,1,Eb,vi,,i,,6,,,FALSE
i,,111,3,321,3/4,127,12,1,1,Eb,vi,,i,,,,,FALSE
i64,,112,1,322,3/4,127,12,1,1,Eb,vi,,i,,64,,,FALSE
VI6,,112,2,323,3/4,127,12,1,1,Eb,vi,,VI,,6,,,FALSE
i,,112,3,324,3/4,127,12,1,0.5,Eb,vi,,i,,,,,FALSE
i(1197),,112,3.5,324.5,3/4,127,12,1,0.5,Eb,vi,,i,,,1197,,FALSE
i\\\\,,113,1,325,3/4,127,12,1,1,Eb,vi,,i,,,,,TRUE
iv,,113,2,326,3/4,127,12,1,1,Eb,vi,,iv,,,,,FALSE
V64,,113,3,327,3/4,127,12,1,1,Eb,vi,,V,,64,,,FALSE
i(2),,114,1,328,3/4,127,12,1,1,Eb,vi,,i,,,2,,FALSE
i64,,114,2,329,3/4,127,12,1,1,Eb,vi,,i,,64,,,FALSE
i6,,114,3,330,3/4,127,12,1,1,Eb,vi,,i,,6,,,FALSE
i,,115,1,331,3/4,127,12,1,1,Eb,vi,,i,,,,,FALSE
iv6,,115,2,332,3/4,127,12,1,1,Eb,vi,,iv,,6,,,FALSE
V65,,115,3,333,3/4,127,12,1,1,Eb,vi,,V,,65,,,FALSE
i(94),,116,1,334,3/4,127,12,1,1,Eb,vi,,i,,,94,,FALSE
i6,,116,2,335,3/4,127,12,1,1,Eb,vi,,i,,6,,,FALSE
i64,,116,3,336,3/4,127,12,1,1,Eb,vi,,i,,64,,,FALSE
I.ii43,,117,1,337,3/4,127,12,1,3,Eb,I,,ii,,43,,,FALSE
V7/IV,,118,1,340,3/4,127,12,1,3,Eb,I,,V,,7,,IV,FALSE
IVM43,,119,1,343,3/4,127,12,1,1,Eb,I,,IV,M,43,,,FALSE
IV,,119,2,344,3/4,127,12,1,1,Eb,I,,IV,,,,,FALSE
ii,,119,3,345,3/4,127,12,1,1,Eb,I,,ii,,,,,FALSE
V2(2)/IV,,120,1,346,3/4,127,12,1,1,Eb,I,,V,,2,2,IV,FALSE
I6,,120,2,347,3/4,127,12,1,1,Eb,I,,I,,6,,,FALSE
I,,120,3,348,3/4,127,12,1,1,Eb,I,,I,,,,,FALSE
#viio65/V,,121,1,349,3/4,127,12,1,12,Eb,I,,#vii,o,65,,V,FALSE
v6,,125,1,361,3/4,127,12,1,12,Eb,I,,v,,6,,,FALSE
ii.Ger6,,129,1,373,3/4,127,12,1,12,Eb,ii,,Ger,,6,,,FALSE
V,,133,1,385,3/4,127,12,1,5,Eb,ii,,V,,,,,FALSE
V6\\\\,,134,3,390,3/4,127,12,1,1,Eb,ii,,V,,6,,,TRUE
VI.I,,135,1,391,2/4,127,12,1,2.5,Eb,VI,,I,,,,,FALSE
V43,,136,1.5,393.5,2/4,127,12,1,1.5,Eb,VI,,V,,43,,,FALSE
I,,137,1,395,2/4,127,12,1,2.5,Eb,VI,,I,,,,,FALSE
V2,,138,1.5,397.5,2/4,127,12,1,1.5,Eb,VI,,V,,2,,,FALSE
I6,,139,1,399,3/4,127,12,1,5,Eb,VI,,I,,6,,,FALSE
I64,,140,3,404,3/4,127,12,1,3,Eb,VI,,I,,64,,,FALSE
vi6,,141,3,407,3/4,127,12,1,1,Eb,VI,,vi,,6,,,FALSE
ii6,,142,1,408,3/4,127,12,1,1,Eb,VI,,ii,,6,,,FALSE
IV6,,142,2,409,3/4,127,12,1,1,Eb,VI,,IV,,6,,,FALSE
IV64,,142,3,410,3/4,127,12,1,0.5,Eb,VI,,IV,,64,,,FALSE
viio6,,142,3.5,410.5,3/4,127,12,1,0.5,Eb,VI,,vii,o,6,,,FALSE
I64,,143,1,411,3/4,127,12,1,1.5,Eb,VI,,I,,64,,,FALSE
I,,143,2.5,412.5,3/4,127,12,1,1.5,Eb,VI,,I,,,,,FALSE
V43,,144,1,414,3/4,127,12,1,1,Eb,VI,,V,,43,,,FALSE
ii6,,144,2,415,3/4,127,12,1,0.5,Eb,VI,,ii,,6,,,FALSE
I64,,144,2.5,415.5,3/4,127,12,1,0.5,Eb,VI,,I,,64,,,FALSE
IV6,,144,3,416,3/4,127,12,1,0.666667,Eb,VI,,IV,,6,,,FALSE
V65,,144,3.66667,416.667,3/4,127,12,1,0.333333,Eb,VI,,V,,65,,,FALSE
I,,145,1,417,3/4,127,12,1,2,Eb,VI,,I,,,,,FALSE
vi6,,145,3,419,3/4,127,12,1,1,Eb,VI,,vi,,6,,,FALSE
V65(4),,146,1,420,3/4,127,12,1,0.5,Eb,VI,,V,,65,4,,FALSE
V65,,146,1.5,420.5,3/4,127,12,1,0.5,Eb,VI,,V,,65,,,FALSE
IV6,,146,2,421,3/4,127,12,1,0.5,Eb,VI,,IV,,6,,,FALSE
I64,,146,2.5,421.5,3/4,127,12,1,0.5,Eb,VI,,I,,64,,,FALSE
ii6,,146,3,422,3/4,127,12,1,0.5,Eb,VI,,ii,,6,,,FALSE
viio6,,146,3.5,422.5,3/4,127,12,1,0.5,Eb,VI,,vii,o,6,,,FALSE
I\\\\,,147,1,423,3/4,127,12,1,1,Eb,VI,,I,,,,,TRUE
I.viio6,,147,2,424,3/4,127,12,1,8,Eb,I,,vii,o,6,,,FALSE
ii6,,150,1,432,3/4,127,12,1,3,Eb,I,,ii,,6,,,FALSE
iv,,151,1,435,3/4,127,12,1,9,Eb,I,,iv,,,,,FALSE
viio7/ii,,154,1,444,3/4,127,12,1,3,Eb,I,,vii,o,7,,ii,FALSE
V7,,155,1,447,3/4,127,12,1,10,Eb,I,,V,,7,,,FALSE
IV64,,158,2,457,3/4,127,12,1,1.5,Eb,I,,IV,,64,,,FALSE
IV6,,158,3.5,458.5,3/4,127,12,1,0.5,Eb,I,,IV,,6,,,FALSE
IV,,159,1,459,3/4,127,12,1,9,Eb,I,,IV,,,,,FALSE
ii.viio65,,162,1,468,3/4,127,12,1,2.5,Eb,ii,,vii,o,65,,,FALSE
iv6,,162,3.5,470.5,3/4,127,12,1,0.5,Eb,ii,,iv,,6,,,FALSE
V7,,163,1,471,3/4,127,12,1,2.5,Eb,ii,,V,,7,,,FALSE
iv6,,163,3.5,473.5,3/4,127,12,1,0.5,Eb,ii,,iv,,6,,,FALSE
V7,,164,1,474,3/4,127,12,1,3,Eb,ii,,V,,7,,,FALSE
viio65,,165,1,477,3/4,127,12,1,3,Eb,ii,,vii,o,65,,,FALSE
V,,166,1,480,3/4,127,12,1,1,Eb,ii,,V,,,,,FALSE
III,,166,2,481,3/4,127,12,1,1.5,Eb,ii,,III,,,,,FALSE
i,,166,3.5,482.5,3/4,127,12,1,0.5,Eb,ii,,i,,,,,FALSE
