offset,c,c#,d,d#,e,f,f#,g,g#,a,a#,b,total,form
40.0,1.75,0.0,0.25,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,Minor
41.0,1.0,0.0,0.5,0.0,0.0,1.5,0.0,0.0,0.0,0.5,0.5,0.0,4.0,Minor
42.0,0.5,0.0,0.5,0.5,0.0,1.25,0.0,0.0,0.0,0.5,0.5,0.0,3.75,Minor
43.0,1.75,0.0,0.25,0.0,0.0,2.5,0.0,0.0,0.0,0.5,0.5,0.0,5.5,Minor
44.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.5,0.0,5.5,Minor
45.0,0.0,0.0,2.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,4.5,Major
46.0,0.0,0.0,1.0,0.0,1.5,0.5,0.0,1.0,0.0,0.0,1.0,0.0,5.0,Minor
47.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,Minor
48.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.5,0.5,0.0,5.0,Minor
49.0,0.0,0.0,1.5,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,4.5,Minor
50.0,0.0,0.0,1.0,0.0,1.5,0.5,0.0,1.25,0.0,0.0,1.75,0.0,6.0,Minor
51.0,0.0,0.0,1.5,0.0,1.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,Minor
52.0,0.0,0.0,1.0,0.0,0.0,1.25,0.0,0.0,0.0,3.25,0.5,0.0,6.0,Minor
53.0,0.0,0.0,1.0,0.0,0.0,1.25,0.0,0.25,0.0,3.0,0.0,0.0,5.5,Minor
54.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,4.5,Minor
55.0,0.0,0.25,0.0,0.0,0.875,0.125,0.0,1.0,0.0,2.5,0.0,0.25,5.0,Minor
56.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,Minor
57.0,0.0,0.0,2.5,0.0,0.0,1.5,0.0,0.0,0.0,2.0,0.0,0.0,6.0,Minor
58.0,0.0,0.0,1.0,0.0,1.5,0.5,0.0,1.25,0.0,0.0,1.75,0.0,6.0,Minor
59.0,0.0,0.0,1.5,0.0,1.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,Minor
60.0,0.0,0.0,1.0,0.0,0.0,1.25,0.0,0.0,0.0,3.25,0.5,0.0,6.0,Minor
61.0,0.0,0.0,1.0,0.0,0.0,1.25,0.0,0.25,0.0,3.0,0.0,0.0,5.5,Minor
62.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,3.0,0.0,0.0,4.5,Minor
63.0,0.0,0.5,0.0,0.0,0.875,0.125,0.0,0.5,0.0,2.5,0.0,0.0,4.5,Minor
64.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.5,0.0,0.0,5.5,Minor
65.0,0.0,0.0,1.0,0.0,0.0,1.5,0.0,0.0,0.0,1.0,0.0,0.0,3.5,Minor
66.0,0.0,0.0,1.5,0.0,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,Minor
67.0,0.0,0.5,1.0,0.0,0.125,0.875,0.0,0.5,0.0,1.0,0.5,0.0,4.5,Minor
68.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,Minor
69.0,0.0,0.5,1.0,0.0,0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.0,4.0,Minor
70.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,Minor
71.0,0.0,0.0,2.0,0.0,0.0,0.5,0.0,1.0,0.0,0.5,0.5,0.0,4.5,Minor
72.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,Minor
73.0,0.0,0.0,2.0,0.0,0.25,0.25,0.0,1.25,0.0,0.0,1.0,0.0,4.75,Minor
74.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,German sixth
75.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,German sixth
76.0,0.0,0.0,2.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.5,French sixth
77.0,0.0,0.0,2.0,0.0,0.0,1.5,0.0,0.0,0.0,1.0,0.0,0.0,4.5,German sixth
78.0,0.0,0.0,2.0,0.0,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.5,German sixth
79.0,0.0,0.0,2.0,0.0,0.0,1.5,0.0,0.0,0.0,1.5,0.0,0.0,5.0,German sixth
80.0,0.0,0.0,2.0,0.0,1.75,0.25,0.0,1.0,0.0,0.0,1.0,0.0,6.0,German sixth
81.0,0.0,0.0,2.0,0.0,1.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.5,French sixth
82.0,0.0,0.0,1.5,0.0,0.0,1.25,0.0,0.0,0.0,2.75,0.0,0.0,5.5,German sixth
83.0,0.0,0.5,0.5,0.0,0.25,1.0,0.0,0.5,0.0,3.0,0.0,0.0,5.75,French sixth
84.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.5,0.0,0.0,5.5,German sixth
85.0,0.0,0.0,2.0,0.0,0.0,1.5,0.0,0.0,0.0,1.0,0.0,0.0,4.5,German sixth
86.0,0.0,0.0,2.0,0.0,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.5,Minor
87.0,0.0,0.0,2.0,0.0,0.0,1.5,0.0,0.0,0.0,1.5,0.0,0.0,5.0,Minor
88.0,0.0,0.0,2.0,0.0,1.75,0.25,0.0,1.0,0.0,0.0,1.0,0.0,6.0,Minor
89.0,0.0,0.0,2.0,0.0,1.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.5,Minor
90.0,0.0,0.0,1.5,0.0,0.0,1.25,0.0,0.0,0.0,2.75,0.0,0.0,5.5,Minor
91.0,0.0,0.5,0.5,0.0,0.25,1.0,0.0,0.5,0.0,3.0,0.0,0.0,5.75,Minor
92.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.5,0.0,0.0,5.5,Minor
93.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,4.5,Minor
94.0,0.5,0.0,0.0,0.0,0.0,2.75,0.0,0.25,0.0,1.0,0.0,0.0,4.5,Minor
95.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.5,0.0,1.0,0.0,0.5,5.0,Minor
96.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.75,0.0,0.25,0.0,0.0,5.0,Minor
97.0,1.5,0.0,0.0,0.0,0.5,0.5,0.0,1.0,0.0,0.5,0.0,0.0,4.0,Minor
98.0,1.25,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.0,3.75,Minor
99.0,2.0,0.0,0.0,0.0,0.5,0.5,0.0,1.5,0.0,0.25,0.25,0.0,5.0,Minor
100.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,4.5,Minor
101.0,0.5,0.0,0.0,0.5,0.5,2.0,0.0,0.5,0.0,0.5,0.5,0.0,5.0,Minor
102.0,0.25,0.0,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.25,0.0,5.0,Minor
103.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,2.0,0.0,5.0,Minor
104.0,1.75,0.0,0.25,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,Minor
105.0,1.0,0.0,0.5,0.0,0.0,1.5,0.0,0.0,0.0,0.5,0.5,0.0,4.0,Minor
106.0,0.5,0.0,0.5,0.5,0.0,1.25,0.0,0.0,0.0,0.5,0.5,0.0,3.75,Minor
107.0,1.75,0.0,0.25,0.0,0.0,2.5,0.0,0.0,0.0,0.5,0.5,0.0,5.5,Minor
108.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.5,0.0,5.5,Minor
109.0,0.0,0.0,2.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,4.5,Minor
110.0,0.0,0.0,1.0,0.0,1.5,0.5,0.0,1.0,0.0,0.0,1.0,0.0,5.0,Minor
111.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,Minor
112.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.5,0.5,0.0,5.0,Minor
113.0,0.0,0.0,1.5,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,4.5,Minor
114.0,0.0,0.0,1.0,0.0,1.5,0.5,0.0,1.25,0.0,0.0,1.75,0.0,6.0,Minor
115.0,0.0,0.0,1.5,0.0,1.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,Minor
116.0,0.0,0.0,1.0,0.0,0.0,1.25,0.0,0.0,0.0,3.25,0.5,0.0,6.0,Minor
117.0,0.0,0.0,1.0,0.0,0.0,1.25,0.0,0.25,0.0,3.0,0.0,0.0,5.5,Minor
118.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,4.5,Minor
119.0,0.0,0.25,0.0,0.0,0.875,0.125,0.0,1.0,0.0,2.5,0.0,0.25,5.0,Minor
120.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,Minor
121.0,0.0,0.0,2.5,0.0,0.0,1.5,0.0,0.0,0.0,2.0,0.0,0.0,6.0,Minor
122.0,0.0,0.0,1.0,0.0,1.5,0.5,0.0,1.25,0.0,0.0,1.75,0.0,6.0,Minor
123.0,0.0,0.0,1.5,0.0,1.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,Minor
124.0,0.0,0.0,1.0,0.0,0.0,1.25,0.0,0.0,0.0,3.25,0.5,0.0,6.0,Minor
125.0,0.0,0.0,1.0,0.0,0.0,1.25,0.0,0.25,0.0,3.0,0.0,0.0,5.5,Minor
126.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,3.0,0.0,0.0,4.5,Minor
127.0,0.0,0.5,0.0,0.0,0.875,0.125,0.0,0.5,0.0,2.5,0.0,0.0,4.5,Minor
128.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.5,0.0,0.0,5.5,Minor
129.0,0.0,0.0,1.0,0.0,0.0,1.5,0.0,0.0,0.0,1.0,0.0,0.0,3.5,Minor
130.0,0.0,0.0,1.5,0.0,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,Minor
131.0,0.0,0.5,1.0,0.0,0.125,0.875,0.0,0.5,0.0,1.0,0.5,0.0,4.5,Minor
132.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,Minor
133.0,0.0,0.5,1.0,0.0,0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.0,4.0,Minor
134.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,Minor
135.0,0.0,0.0,2.0,0.0,0.0,0.5,0.0,1.0,0.0,0.5,0.5,0.0,4.5,Minor
136.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,Minor
137.0,0.0,0.0,2.0,0.0,0.25,0.25,0.0,1.25,0.0,0.0,1.0,0.0,4.75,Minor
138.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,Minor
139.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,Minor
140.0,0.0,0.0,2.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.5,Minor
141.0,0.0,0.0,2.0,0.0,0.0,1.5,0.0,0.0,0.0,1.0,0.0,0.0,4.5,Minor
142.0,0.0,0.0,2.0,0.0,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.5,Minor
143.0,0.0,0.0,2.0,0.0,0.0,1.5,0.0,0.0,0.0,1.5,0.0,0.0,5.0,Minor
144.0,0.0,0.0,2.0,0.0,1.75,0.0,0.0,1.25,0.0,0.0,1.0,0.0,6.0,Minor
145.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.5,0.0,5.5,Minor
146.0,0.0,0.0,1.0,0.0,0.0,1.25,0.0,0.25,0.0,3.0,0.0,0.0,5.5,Minor
147.0,0.0,0.25,0.5,0.0,0.5,0.5,0.0,0.5,0.0,2.5,0.0,0.25,5.0,Minor
148.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.5,0.0,0.0,4.5,Minor
149.0,0.0,0.0,2.0,0.0,0.0,1.5,0.0,0.0,0.0,1.0,0.0,0.0,4.5,Minor
150.0,0.0,0.0,2.0,0.0,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.5,Minor
151.0,0.0,0.0,2.0,0.0,0.0,1.5,0.0,0.0,0.0,1.5,0.0,0.0,5.0,Minor
152.0,0.0,0.0,2.0,0.0,1.75,0.0,0.0,1.25,0.0,0.0,1.0,0.0,6.0,Minor
153.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.5,0.0,5.5,Minor
154.0,0.0,0.0,1.0,0.0,0.0,1.25,0.0,0.25,0.0,3.0,0.0,0.0,5.5,Minor
155.0,0.0,0.25,0.5,0.0,0.5,0.5,0.0,0.5,0.0,2.5,0.0,0.25,5.0,Minor
156.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.5,0.0,0.0,4.5,Minor
157.0,1.5,0.0,0.0,0.0,1.5,0.0,0.0,1.0,0.0,0.0,0.5,0.0,4.5,Minor
158.0,0.5,0.0,0.0,0.0,0.0,2.75,0.0,0.25,0.0,1.0,0.0,0.0,4.5,Minor
159.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.5,0.0,1.0,0.0,0.5,5.0,Major
160.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.75,0.0,0.25,0.0,0.0,5.0,Major
161.0,1.5,0.0,0.0,0.0,0.5,0.5,0.0,1.0,0.0,0.5,0.0,0.0,4.0,Major
162.0,1.25,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.0,3.75,Diminished seventh
163.0,2.0,0.0,0.0,0.0,0.5,0.5,0.0,1.5,0.0,0.25,0.25,0.0,5.0,Diminished seventh
164.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,4.5,Major
165.0,0.5,0.0,0.0,0.5,0.5,2.0,0.0,0.5,0.0,0.5,0.5,0.0,5.0,Major
166.0,0.25,0.0,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.25,0.0,5.0,Diminished seventh
167.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,2.0,0.0,5.0,Major
168.0,1.75,0.0,0.25,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,Diminished seventh
169.0,1.0,0.0,0.5,0.0,0.0,1.5,0.0,0.0,0.0,0.5,0.5,0.0,4.0,Major
170.0,0.5,0.0,0.5,0.5,0.0,1.25,0.0,0.0,0.0,0.5,0.5,0.0,3.75,Diminished seventh
171.0,1.75,0.0,0.25,0.0,0.0,2.5,0.0,0.0,0.0,0.5,0.5,0.0,5.5,Diminished seventh
172.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.5,0.0,5.5,Major
173.0,0.0,0.0,2.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,4.5,Dominant seventh
174.0,0.0,0.0,1.0,0.0,1.5,0.5,0.0,1.0,0.0,0.0,1.0,0.0,5.0,Dominant seventh
175.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,Dominant seventh
176.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.5,0.5,0.0,5.0,Dominant seventh
177.0,0.0,0.0,1.5,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,4.5,Dominant seventh
178.0,0.0,0.0,1.0,0.0,1.5,0.5,0.0,1.25,0.0,0.0,1.75,0.0,6.0,Dominant seventh
179.0,0.0,0.0,1.5,0.0,1.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,Dominant seventh
180.0,0.0,0.0,1.0,0.0,0.0,1.25,0.0,0.0,0.0,3.25,0.5,0.0,6.0,Dominant seventh
181.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.5,0.0,0.0,5.5,Dominant seventh
182.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,5.5,Dominant seventh
183.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.5,0.0,4.0,0.0,0.0,6.0,Augmented
184.0,0.0,0.0,1.5,0.0,0.0,1.0,0.0,0.0,0.0,2.5,0.0,0.0,5.0,Augmented
185.0,0.0,0.0,2.5,0.0,0.0,1.5,0.0,0.0,0.0,2.0,0.0,0.0,6.0,Augmented
186.0,0.0,0.0,1.0,0.0,1.5,0.5,0.0,1.25,0.0,0.0,1.75,0.0,6.0,Augmented
187.0,0.0,0.0,1.5,0.0,1.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,Augmented
188.0,0.0,0.0,1.0,0.0,0.0,1.25,0.0,0.0,0.0,3.25,0.5,0.0,6.0,Augmented
189.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.5,0.0,0.0,5.5,Augmented
190.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,Augmented
191.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.5,0.0,4.0,0.0,0.0,6.0,Augmented
192.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,Augmented
193.0,0.0,0.0,1.0,0.0,0.0,1.5,0.0,0.0,0.0,1.0,0.0,0.0,3.5,Augmented
194.0,0.0,0.0,1.5,0.0,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,Augmented
195.0,0.0,0.5,1.0,0.0,0.125,0.875,0.0,0.5,0.0,1.0,0.5,0.0,4.5,Augmented
196.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,Augmented
197.0,0.0,0.5,1.0,0.0,0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.0,4.0,Augmented
198.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,Diminished
199.0,0.0,0.0,2.0,0.0,0.0,0.5,0.0,1.0,0.0,0.5,0.5,0.0,4.5,Diminished
200.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,Diminished
201.0,0.0,0.0,2.0,0.0,0.25,0.25,0.0,1.25,0.0,0.0,1.0,0.0,4.75,Diminished
202.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,Diminished
203.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,Diminished
204.0,0.0,0.0,2.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.5,Diminished
205.0,0.0,0.0,2.0,0.0,0.0,0.0,1.5,0.0,0.0,1.0,0.0,0.0,4.5,Diminished
206.0,0.0,0.0,2.0,0.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.5,Diminished
207.0,0.0,0.0,2.0,0.0,0.0,0.0,1.5,0.0,0.0,1.5,0.0,0.0,5.0,Diminished
208.0,0.0,0.0,2.0,0.0,1.75,0.0,0.25,0.0,1.0,0.0,0.0,1.0,6.0,Diminished
209.0,0.0,0.0,2.0,0.0,1.0,0.5,0.0,0.0,1.0,0.0,0.0,1.5,6.0,Diminished
210.0,0.0,0.0,1.5,0.0,0.0,0.0,1.25,0.0,0.0,1.5,0.0,0.0,4.25,Diminished
211.0,0.0,0.5,0.5,0.0,0.25,0.0,1.0,0.5,0.0,3.0,0.0,0.0,5.75,Diminished
212.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5,0.0,0.0,5.5,Diminished
213.0,0.0,0.0,2.0,0.0,0.0,0.0,1.5,0.0,0.0,1.0,0.0,0.0,4.5,Major
214.0,0.0,0.0,2.0,0.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.5,Major
215.0,0.0,0.0,2.0,0.0,0.0,0.0,1.5,0.0,0.0,1.5,0.0,0.0,5.0,Major
216.0,0.0,0.0,2.0,0.0,1.75,0.0,0.25,0.0,1.0,0.0,0.0,1.0,6.0,Major
217.0,0.0,0.0,2.0,0.0,1.0,0.5,0.0,0.0,1.0,0.0,0.0,1.5,6.0,Major
218.0,0.0,0.0,1.5,0.0,0.0,0.0,1.25,0.0,0.0,1.5,0.0,0.0,4.25,Major
219.0,0.0,0.5,0.5,0.0,0.25,0.0,1.0,0.5,0.0,3.0,0.0,0.0,5.75,Major
220.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5,0.0,0.0,5.5,Major
221.0,0.5,0.0,1.5,0.0,0.5,0.0,0.5,1.0,0.0,0.5,0.0,0.0,4.5,Major
222.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.75,0.0,0.25,0.0,1.0,4.5,Major
223.0,0.0,0.5,0.0,0.0,1.0,0.0,0.25,1.75,0.0,0.5,0.0,1.0,5.0,Major
224.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.75,0.0,0.25,5.0,Major
225.0,0.0,0.0,1.5,0.0,0.0,0.0,0.5,0.5,0.0,1.0,0.0,0.5,4.0,Major
226.0,0.5,0.0,1.25,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.5,3.75,Major
227.0,0.25,0.0,2.0,0.0,0.0,0.0,0.5,0.5,0.0,1.5,0.0,0.25,5.0,Major
228.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.75,0.0,0.25,0.0,2.0,4.5,Diminished
229.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,4.5,Diminished
230.0,0.0,0.0,2.25,0.0,0.25,0.0,1.0,0.0,0.0,0.5,0.0,0.0,4.0,Diminished
